patient_id,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
41,9.776409,5.0765676,2.8592308,5.260182,5.262418,5.4384623,4.2857594,6.1041164,3.3009603,6.2602773,6.2527356,6.0389247,3.497816,5.8464556,5.6697526,4.8205123
304,5.445067,4.5404687,2.2671914,4.880542,4.889966,5.0619955,4.834134,4.9244227,5.276668,6.5861974,4.9423556,6.1743174,4.4348125,5.028882,5.115947,4.753623
92,8.550702,4.7262073,2.100557,5.789232,5.6117687,5.623982,4.3007894,5.865581,4.446043,6.7339754,5.6173,5.8355427,4.9917345,6.322969,5.204527,5.237736
405,5.5666347,4.5758514,2.3814454,4.712797,4.9185476,5.15156,4.948549,4.9353,5.201851,6.471797,5.3742166,6.2207956,4.335253,5.249528,5.1781254,4.5485477
84,9.79384,5.1679277,2.8898647,5.2418046,5.1658278,5.3123264,4.2122264,6.22001,3.3841424,6.2970424,6.105239,6.0744843,3.5995636,5.798478,5.676611,4.963427
571,9.624565,5.3369613,2.7176077,5.0033197,4.519945,5.2406044,4.040405,6.811066,4.5961275,6.688523,5.099859,5.9990964,4.632478,5.424387,5.8485923,5.431316
11,8.816276,4.903996,2.6708295,4.798587,4.882116,5.1023974,4.358339,6.09734,4.1835966,6.3738294,5.6297874,5.918558,3.8901103,5.489552,5.8383,4.922594
726,9.660748,5.19641,2.6202774,5.045878,4.7010713,5.097634,4.00228,6.770988,4.5871983,6.7066617,5.053137,5.9196067,4.5269566,5.566202,5.7912216,5.544818
443,3.5575821,5.4011497,1.9667286,4.307978,4.2935796,4.5070367,5.6142106,5.2948565,5.265375,5.7591896,5.511297,6.2795253,4.6982055,4.803196,4.8702593,4.09727
694,9.82453,4.8596864,2.3763041,5.052195,5.0053024,5.288147,4.018643,6.757188,4.5365148,6.7701826,5.128082,5.869109,4.4808044,5.926959,5.8021364,5.6047597
545,8.922851,4.754377,2.1787913,5.963971,5.842277,5.8619184,4.3289485,5.77471,3.786644,6.604077,6.0692525,5.9554496,4.5184636,6.5499816,5.1285453,5.0173774
234,8.60901,4.802091,2.253364,4.5884223,4.7224393,5.466505,4.5518093,6.265954,4.4192605,6.7771173,5.3447585,5.900948,4.173393,5.4306674,5.942191,4.8584347
268,6.046382,4.680029,2.2851105,4.810185,4.835551,5.0717955,4.732923,5.241944,4.972524,6.507926,5.099626,6.0599585,4.4602847,5.295763,5.4815087,4.749216
